Title,Authors,Abstract,Published Year,Published Month,Journal,Volume,Issue,Pages,Accession Number,DOI,Ref,Covidence #,Study,Notes,Tags
Thermal displacement by marine heatwaves,"Jacox, MG; Alexander, MA; Bograd, SJ; Scott, JD","Marine heatwaves (MHWs)-discrete but prolonged periods of anomalously warm ocean temperatures-can drastically alter ocean ecosystems, with profound ecological and socioeconomic impacts(1-8). Considerable effort has been directed at understanding the patterns, drivers and trends of MHWs globally(9-11). Typically, MHWs are characterized on the basis of their intensity and persistence at a given location-an approach that is particularly relevant for corals and other sessile organisms that must endure increased temperatures. However, many ecologically and commercially important marine species respond to environmental disruptions by relocating to favourable habitats, and dramatic range shifts of mobile marine species are among the conspicuous impacts of MHWs(1,4,12,13). Whereas spatial temperature shifts have been studied extensively in the context of long-term warming trends(14-18), they are unaccounted for in existing global MHW analyses. Here we introduce thermal displacement as a metric that characterizes MHWs by the spatial shifts of surface temperature contours, instead of by local temperature anomalies, and use an observation-based global sea surface temperature dataset to calculate thermal displacements for all MHWs from 1982 to 2019. We show that thermal displacements during MHWs vary from tens to thousands of kilometres across the world's oceans and do not correlate spatially with MHW intensity. Furthermore, short-term thermal displacements during MHWs are of comparable magnitude to century-scale shifts inferred from warming trends(18), although their global spatial patterns are very different. These results expand our understanding of MHWs and their potential impacts on marine species, revealing which regions are most susceptible to thermal displacement, and how such shifts may change under projected ocean warming. The findings also highlight the need for marine resource management to account for MHW-driven spatial shifts, which are of comparable scale to those associated with long-term climate change and are already happening.Ocean heatwaves displace surface isotherms by tens to thousands of kilometres-comparable to shifts associated with long-term warming trends-potentially driving rapid redistributions of marine species.",2020,,NATURE,584,7819,82-+,WOS:000560290400018,10.1038/s41586-020-2534-z,,#3,Jacox 2020,"",GLOBAL; physical drivers; physical impact
Assessment of the Impact of Pacific Inflow on Sea Surface Temperature Prior to the Freeze-Up Period over the Bering Sea,"Wang, WB; Wang, Y; Zhang, JP; Jing, CS; Ding, R","Warm water inflow from the Northeast Pacific has always been considered a crucial factor in early winter freeze-up in the Bering Sea. There is a strong correlation between changes in sea surface temperature (SST) on the eastern Bering Sea shelf and sea ice area in December. However, there is still limited research on the impact of Pacific inflow on SST on the eastern Bering Sea shelf, resulting in insufficient measurements of the impact of Pacific inflow on early freeze-up. In this article, the definition of marine heatwaves (MHW) is used to extract warm events (with a threshold of the 70th percentile) and cold events (with a threshold of the 30th percentile) from the eastern Bering Sea shelf in November. Self-organizing map (SOM) technology is utilized to classify extracted cold and warm events and the mixed-layer heat budget is ultimately used to explore the factors that generate and maintain these cold and warm events. Between 1993 and 2021, a total of 12 warm and 12 cold events are extracted and their cumulative intensity is found to be strongly correlated with the interannual variation in SST by 99.8%, indicating that these warm and cold events are capable of characterizing the interannual variation in SST. Among the 12 warm events, 9 of them can be attributed to abnormal warming of seawater before November and only 3 events are attributed to warm water inflow from the Northeast Pacific. During the development of warm events, there are only two events in which the warm inflow from the Northeast Pacific has a more profound regulatory effect on warm events in November. Moreover, both generation and regulatory factors of cold events are the net air-sea heat flux. Statistics indicate that the warm water inflow from the Northeast Pacific has a limited effect on SST on the eastern Bering Sea shelf during the early freeze-up period. Changes in local SST are more influenced by the residual heat before November and by local net air-sea heat flux. However, we highlight that long-term ocean heatwaves occurring in the Northeast Pacific can enlarge the residual heat of seawater in the eastern Bering Sea shelf before November, thereby impacting early freeze-up. The frequency of such events has significantly increased in the past decade, causing notable changes in the climate and ecosystem of the Bering Sea. Therefore, it is crucial to continue closely monitoring the occurrence and development of such events in the future.",2024,,REMOTE SENSING,16,1,,WOS:001140483200001,10.3390/rs16010113,,#4,Wang 2024,"",cold spell; heatwave; physical drivers
Impact of Pacific Ocean heatwaves on phytoplankton community composition,"Arteaga, LA; Rousseaux, CS","Since 2013, marine heatwaves have become recurrent throughout the equatorial and northeastern Pacific Ocean and are expected to increase in intensity relative to historic norms. Among the ecological ramifications associated with these high temperature anomalies are increased mortality of higher trophic organisms such as marine mammals and seabirds, which are likely triggered by changes in the composition of phytoplankton, the base of the marine trophic food web. Here, we assimilated satellite ocean color data into an ocean biogeochemical model to describe changes in the abundance of phytoplankton functional types (PFTs) during the last decade's (2010s) warm anomalies in the equatorial and northeastern Pacific Ocean. We find important changes associated with the ""Blob"" warm anomaly in the Gulf of Alaska, where reduced silica supply led to a switch in community composition from diatoms to dinoflagellates, resulting in an increase in surface ocean chlorophyll during the Summer-Fall of 2014. A more dramatic change was observed in the equatorial Pacific, where the extreme warm conditions of the 2016 El Nino resulted in a major decline of about 40% in surface chlorophyll, which was associated with a nearly total collapse in diatoms.Biogeochemical modelling and satellite imagery reveal community level shifts in phytoplankton composition during northeastern and equatorial Pacific Ocean warming events.",2023,,COMMUNICATIONS BIOLOGY,6,1,,WOS:000948693600001,10.1038/s42003-023-04645-0,,#5,Arteaga 2023,"",ecosystem response; heatwave
Ocean Biogeochemical Signatures of the North Pacific Blob,"Mogen, SC; Lovenduski, NS; Dallmann, AR; Gregor, L; Sutton, AJ; Bograd, SJ; Quiros, NC; Di Lorenzo, E; Hazen, EL; Jacox, MG; Buil, MP; Yeager, S","The Blob was the early manifestation of the Northeast Pacific marine heat wave from 2013 to 2016. While the upper ocean temperature in the Blob has been well described, the impacts on marine biogeochemistry have not been fully studied. Here, we characterize and develop understanding of Eastern North Pacific upper ocean biogeochemical properties during the Winter of 2013-2014 using in situ observations, an observation-based product, and reconstructions from a collection of ocean models. We find that the Blob is associated with significant upper ocean biogeochemical anomalies: A 5% increase in aragonite saturation state (temporary reprieve of ocean acidification) and a 3% decrease in oxygen concentration (enhanced deoxygenation). Anomalous advection and mixing drive the aragonite saturation anomaly, while anomalous heating and air-sea gas exchange drive the oxygen anomaly. Marine heatwaves do not necessarily serve as an analog for future change as they may enhance or mitigate long-term trends.",2022,,GEOPHYSICAL RESEARCH LETTERS,49,9,,WOS:000796532400001,10.1029/2021GL096938,,#6,Mogen 2022,"",heatwave; physical impact
Atmosphere teleconnections from abatement of China aerosol emissions exacerbate Northeast Pacific warm blob events,"Wang, H; Zheng, XT; Cai, WJ; Han, ZW; Xie, SP; Kang, SM; Geng, YF; Liu, FK; Wang, CY; Wu, Y; Xiang, BQ; Zhou, L","During 2010 to 2020, Northeast Pacific (NEP) sea surface temperature (SST) experienced the warmest decade ever recorded, manifested in several extreme marine heatwaves, referred to as ""warm blob"" events, which severely affect marine ecosystems and extreme weather along the west coast of North America. While year - toyear internal climate variability has been suggested as a cause of individual events, the causes of the continuous dramatic NEP SST warming remain elusive. Here, we show that other than the greenhouse gas (GHG) forcing, rapid aerosol abatement in China over the period likely plays an important role. Anomalous tropospheric warming induced by declining aerosols in China generated atmospheric teleconnections from East Asia to the NEP, featuring an intensified and southward - shifted Aleutian Low. The associated atmospheric circulation anomaly weakens the climatological westerlies in the NEP and warms the SST there by suppressing the evaporative cooling. The aerosol - induced mean warming of the NEP SST, along with internal climate variability and the GHG - induced warming, made the warm blob events more frequent and intense during 2010 to 2020. As anthropogenic aerosol emissions continue to decrease, there is likely to be an increase in NEP warm blob events, disproportionately large beyond the direct radiative effects.",2024,,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,121,21,,WOS:001231201400006,10.1073/pnas.2313797121,,#7,Wang 2024,"",heatwave; physical drivers
Nonidentical mechanisms behind the North Pacific summer Blob events in the Satellite Era,"Liu, YS; Sun, C; Li, JP","The unprecedented North Pacific marine heatwave (known as the Blob) in 2013/14 winter has attracted many research interests, considering its dramatic impacts on the ecosystem and regional climate. Meanwhile, the summertime Blob events have also emerged in recent decades. In this study, we identified four Blob events in the summer of 2014, 2015, 2019, and 2020 during the Satellite Era. Here we show diversity existed in the formation of summer Blob events. The atmospheric forcing responsible for the Blob is the weakened North Pacific subtropical high (NPSH), which contributes significantly to the Blob in 2019 via anomalous shortwave radiation. However, the atmospheric forcing alone cannot fully explain all the Blob events, especially the one in 2020 when the weakened NPSH is absent. Other than the weakened NPSH, the preceding spring sea surface temperature (SST) warm anomalies in the northeast Pacific can persist into the following summer due to anomalous mixed layer heat content and significantly contribute to the Blob. A binary linear regression model considering both the SST persistence and the NPSH is constructed, successfully reproducing the observed Blob variation for the period 1982-2020 (r = 0.76, p < 0.001). The model improves the ability to capture the warm peaks in all four summer Blob events, which either single factor cannot fully depict.",2023,,CLIMATE DYNAMICS,61,1-2,507-518,WOS:000886860400001,10.1007/s00382-022-06584-8,,#8,Liu 2023,"",heatwave; physical drivers
Interannual measures of nutritional stress during a marine heatwave (the Blob) differ between two North Pacific seabird species,"Tate, HM; Studholme, KR; Domalik, AD; Drever, MC; Romero, LM; Gormally, BMG; Hobson, KA; Hipfner, JM; Crossin, GT","'The Blob', a mass of anomalously warm water in the Northeast Pacific Ocean peaking from 2014 to 2016, caused a decrease in primary productivity with cascading effects on the marine ecosystem. Among the more obvious manifestations of the event were seabird breeding failures and mass mortality events. Here, we used corticosterone in breast feathers (fCort), grown in the winter period during migration, as an indicator of nutritional stress to investigate the impact of the Blob on two sentinel Pacific auk species (family Alcidae). Feathers were collected from breeding females over 8 years from 2010 to 2017, encompassing the Blob period. Since Pacific auks replace body feathers at sea during the migratory period, measures of fCort provide an accumulated measure of nutritional stress or allostatic load during this time. Changes in diet were also measured using delta N-15 and delta C-13 values from feathers. Relative to years prior to the Blob, the primarily zooplanktivorous Cassin's auklets (Ptychoramphus aleuticus) had elevated fCort in 2014-2017, which correlated with the occurrence of the Blob and a recovery period afterwards, with relatively stable feather isotope values. In contrast, generalist rhinoceros auklets (Cerorhinca monocerata) displayed stable fCort values across years and increased delta N-15 values during the Blob. As marine heatwaves increase in intensity and frequency due to climate change, this study provides insight into the variable response of Pacific auks to such phenomena and suggests a means for monitoring population-level responses to climatological variation.",2021,,CONSERVATION PHYSIOLOGY,9,,,WOS:000746845500001,10.1093/conphys/coab090,,#10,Tate 2021,"",ecosystem response; heatwave
Extent and Magnitude of Subsurface Anomalies During the Northeast Pacific Blob as Measured by Animal-Borne Sensors,"Holser, RR; Keates, TR; Costa, DP; Edwards, CA","Marine heatwaves (MHWs) are prolonged warm water events that are increasing in frequency and magnitude due to rising global temperatures. The Northeast Pacific Blob was an unusually widespread MHW that affected ecosystems across the Northeast Pacific, from producers to top predators. Temperature and salinity data collected by northern elephant seals (Mirounga angustirostris) from 2014 to 2017 show significant (>2 sd) warm anomalies throughout the top 1,000 m of the water column, with peak warming in late 2015. Using temperature and salinity as a tracer of layers of constant density, we looked at how lateral advection may have contributed to the development of the Blob. Temperature and salinity anomalies and the expansion of the water column at the base of the pycnocline both indicate that northward advection of warm, salty water played an important role in the observed accumulation of warm water, in addition to surface warming. These findings contribute to our understanding of the physical dynamics of the Blob, especially the thermal content and structure of the water column, and offer mechanisms for its formation and maintenance, which are crucial to assessing the ecological effects of MHWs now and in the future.",2022,,JOURNAL OF GEOPHYSICAL RESEARCH-OCEANS,127,7,,WOS:000825379700001,10.1029/2021JC018356,,#11,Holser 2022,"",ecosystem response; heatwave; physical impact
Warming From Recent Marine Heatwave Lingers in Deep British Columbia Fjord,"Jackson, JM; Johnson, GC; Dosser, HV; Ross, T","While satellite data indicate that the surface expression of the North Pacific marine heatwave, nicknamed ""The Blob,"" disappeared in late 2016, Argo float and ship-based conductivity-temperature-depth data show that warm conditions persisted below the surface mixed layer through at least March 2018. We trace this anomalously warm subsurface water from the open ocean through Queen Charlotte Sound to Rivers Inlet, on British Columbia's central coast. In Rivers Inlet, deep water below the sill depth continues to be 0.3 degrees to 0.6 degrees C warmer than the monthly average, suggesting that impacts of this marine heatwave have persisted in coastal waters at least 4 years after its onset, with potentially substantial effects on coastal ecosystems.Plain Language Summary The Northeast Pacific Ocean was affected by two warm water events, the first was the 2013 to 2015 marine heatwave, nicknamed The Blob, and the second was the 2015 to 2016 El Nino. Surface satellite data have shown that the warm water was gone by 2016. Using temperature data collected by ship and by autonomous robots, we find that abnormally warm water continues to exist in the open ocean below the surface, at about 140-m depth. In the coastal ocean, we find that deep waters in Rivers Inlet are still 0.3 degrees to 0.6 degrees C warmer than normal, at least 4 years after The Blob was first observed. This warm water could have a big impact on the Rivers Inlet ecosystem.",2018,,GEOPHYSICAL RESEARCH LETTERS,45,18,9757-9764,WOS:000447761300047,10.1029/2018GL078971,,#12,Jackson 2018,"",heatwave
Long-lived cold blobs in the Northeast Pacific linked with the tropical La Nina,"Tang, C; Shi, J; Li, C","This study explores the counterpart of marine heatwave, known as the cold blob, in the Northeast Pacific (NEP) by selecting the long-lived events with the normalized sea surface temperature (SST) anomalies averaged over the blob area (160 degrees-135 degrees W, 40 degrees-50 degrees N) smaller than - 0.75 for at least 5 months. There are 10 summer-peak events with a stronger intensity and 7 winter-peak events. The summer-peak cold blob events are mostly attributed to the vertical entrainment when the mixed layer depth is shoaling. For the winter-peak group, the greater heat loss at surface is the principal factor to stimulate the cold blob, associated with the intense westerly anomalies around the blob area. However, the vertical entrainment generally hinders the amplification of winter-peak cold blobs. Moreover, the advection of colder-than-normal water to the blob area contributes much less for both two groups. We conjecture that the NEP cold blob and tropical La Nina-like state are potentially linked. The summer-peak cold blob event is often followed by a La Nina event in the ensuing winter. On the other hand, the equatorial La Nina-like SST cooling in late summer and autumn in turn enhances the winter-peak cold blobs. We find the subtropical region, particularly near the Baja California, may act as the oceanic bridge to connect the NEP cold blob and equatorial La Nina.",2021,,CLIMATE DYNAMICS,57,1-2,223-237,WOS:000623723100001,10.1007/s00382-021-05706-y,,#13,Tang 2021,"Rob Suryan (2025-10-15 12:58:01)(Select): Focus on ""cold blobs"", but not specifically extreme events. I included, but could be convinced otherwise. ; ",cold spell; heatwave; physical drivers
